Mean,Stdev,TERM1,TERM2,CUI1,CUI2
279,178.918976075765,glaucoma,fibrillazione,C0017601,C0232197
370.5,230.654864823326,carbamazepina,fenitoina,C0006949,C0031507
241,92.0434679920308,cardiomiopatia,paracetamolo,C0878544,C0000970
142.5,48.4458460551573,herpes,ipertiroidismo,C0019340,C0020550
870.75,398.347733351988,mal di mare,nausea,C0036494,C0027497
981.25,207.906028451959,coccidioidomicosi,istoplasmosi,C0009186,C0019655
673.75,375.965756419385,stenocardia,clopidogrel,C0002962,C0070166
294.25,191.386824694561,ondansetrone,ipecacuana,C0061851,C0022046
332.75,160.238104082643,attacchi,insulina,C0036572,C0021641
434.5,305.750988006035,setticemia,dispnea,C0036690,C0013404
365.75,120.62994376743,nistagmo,incontinenza,C0028738,C0021167
465,428.962313807013,mal di mare,etanolo,C0036494,C0001962
760.25,449.106056516721,otalgia,iperacusia,C0013456,C0034880
255.25,139.981844060816,peste,colestiramina,C0032064,C0008402
1052,451.100136702854,acyclovir,famciclovir,C0001367,C0209227
1039.25,194.234179964976,nausea,sintomi di nausea e vomito,C0027497,C0027498
334.5,105.998427661294,chetonuria,chiluria,C0162275,C0159075
835.25,439.512134834371,convulsioni,etanolo,C0036572,C0001962
1239.25,90.569954547116,parassitemia,malaria,C0242723,C0024530
1047,252.341039072126,proteinuria,diabete,C0033687,C0011847
391,175.484092346476,gastroenterite,sodio cromoglicato,C0017160,C0086073
519.75,252.237156924457,ipoproteinemia,fame,C0020639,C0020175
1118.5,190.34267344275,tiotropio,salmeterol,C0213771,C0073992
383,119.272796563173,chetonuria,acido folico,C0162275,C0016410
448.75,484.694663336277,insulina,glucagone,C0021641,C0017687
217.25,161.9596143076,cataratta,sibili,C0086543,C0043144
663.5,450.592572804598,metadone,tramadolo,C0025605,C0040610
412,269.08115256678,diabete,psoriasi,C0011847,C0033860
1180.75,166.117177518361,sbiancamento,pallore,C0948786,C0030232
935.25,503.155625361909,assetato,frusemide,C0232471,C0016860
284.25,158.186335271624,Fotosensibilizzazione,afonia,C0349506,C0003564
189.5,139.069526976018,poliuria,chiluria,C0032617,C0159075
222.25,105.522114585838,psoriasi,meningismo,C0033860,C0025287
543,469.50328362359,virilismo,sbavare,C0042755,C0013132
565,322.912784922906,comatoso,epatite,C0009421,C0019158
882.5,442.216010564973,insonnia,agitazione,C0917801,C0085631
487.75,346.599071935668,neuropatia,metformina,C0442874,C0025598
1148.75,202.812516050333,psoriasi,artrite,C0033860,C0003864
631.25,323.911896457457,tubercolosi,dita ippocratiche,C0041296,C0149651
1142.25,149.738382966203,obesità,diabete,C0028754,C0011847
852,368.115018257428,tromboembolia,emottisi,C0040038,C0019079
867.25,431.537078360597,pneumonite,ceftriaxone,C0032285,C0007561
716.25,204.711789271323,dossazosina,terazosina,C0114873,C0076107
272.75,186.580411619227,cataratta,metformina,C0086543,C0025598
